Term,Final Net Worth,Final Cash,Final Reward,Average Reward,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory
1,100.0,27.0,-0.0297,-0.0059,73,0,0,0
1,99.27,2.82,0.001,0.001,73,0,5,12
1,106.78,4.37,0.0054,0.0027,75,0,8,0
1,113.72,4.52,-0.0346,-0.0049,2,1,6,88
1,142.97,73.07,-0.0006,-0.0006,2,1,0,49
1,139.42,64.35,-0.0057,-0.0057,0,1,4,49
1,137.2,96.2,-0.0336,-0.0056,0,20,0,0
1,146.6,0.65,-0.0024,-0.0024,0,20,16,19
1,152.17,78.08,-0.0033,-0.0033,0,5,8,20
1,169.97,14.97,-0.0614,-0.0088,8,0,0,84
1,201.77,83.63,0.0055,0.0014,8,0,2,45
1,200.12,7.11,-0.0007,-0.0002,61,1,2,24
1,194.21,29.41,0.0012,0.0004,68,0,4,0
1,186.09,5.14,-0.0148,-0.0148,0,0,35,0
1,221.09,147.05,0.0013,0.0003,0,0,12,0
1,220.37,0.7,-0.0087,-0.0087,0,0,5,96
1,215.53,0.7,0.0019,0.0019,0,0,5,96
1,207.17,1.09,-0.0504,-0.0034,0,34,10,1
1,207.17,10.19,0.0031,0.001,4,16,16,7
1,195.62,188.04,-0.0812,-0.009,0,2,0,0
1,195.18,129.48,-0.0255,-0.0043,24,2,0,0
1,194.42,18.88,-0.009,-0.0045,51,13,0,3
1,192.49,0.3,-0.0248,-0.0062,0,6,28,7
1,187.1,161.9,-0.0235,-0.0117,0,7,0,0
1,186.61,0.61,-0.0065,-0.0065,48,24,0,0
1,210.85,41.13,-0.0072,-0.0072,12,25,6,1
1,207.89,205.74,-0.0183,-0.0037,0,0,0,1
1,207.98,185.58,-0.0138,-0.0069,0,0,0,10
1,206.28,2.21,-0.0268,-0.0054,30,6,20,1
1,201.98,170.2,-0.0064,-0.0009,7,0,3,0
1,205.57,165.79,-0.0342,-0.0085,17,0,0,0
1,206.93,68.3,-0.0332,-0.0066,2,16,9,7
1,203.29,7.26,0.0035,0.0017,1,32,9,8
1,196.95,13.4,-0.0027,-0.0027,1,32,0,34
1,191.13,76.89,-0.0276,-0.0069,0,32,0,0
1,206.49,161.94,-0.0187,-0.0187,0,11,0,0
1,207.81,0.26,-0.0059,-0.0059,0,11,0,86
1,211.98,146.7,-0.0066,-0.0013,0,16,0,0
1,208.3,18.01,-0.02,-0.004,41,2,7,13
1,199.19,3.51,0.0014,0.0014,41,1,10,13
1,186.04,55.46,-0.0113,-0.0056,13,6,5,28
1,179.09,52.27,-0.016,-0.001,1,4,6,46
1,170.7,10.55,-0.0008,-0.0002,21,17,9,11
1,172.43,1.03,-0.0031,-0.0031,0,17,9,43
1,169.58,36.43,-0.0006,-0.0006,0,13,1,54
1,163.61,1.47,0.0052,0.0026,0,13,1,77
1,175.36,6.27,0.0026,0.0026,0,10,1,80
1,193.78,17.02,-0.022,-0.0055,29,3,10,23
1,192.49,59.8,0.0003,0.0003,29,3,10,0
1,190.12,1.59,-0.0156,-0.0078,0,17,23,1
1,258.31,192.87,-0.0182,-0.0091,0,0,8,0
1,253.27,160.77,-0.0115,-0.0115,0,7,8,1
1,249.21,125.45,-0.021,-0.0053,0,27,0,1
1,245.6,4.13,-0.0035,-0.0035,37,27,0,0
1,229.26,122.88,-0.0216,-0.0108,0,16,0,23
1,224.82,44.84,0.0049,0.0012,1,39,2,8
1,237.18,2.85,-0.0417,-0.007,7,33,11,0
1,233.17,47.08,0.0001,0.0001,4,31,7,0
1,229.6,101.16,-0.0182,-0.0091,1,31,0,0
1,225.17,45.53,-0.0342,-0.0057,2,0,27,3
1,222.29,1.06,-0.0248,-0.0062,0,0,3,112
1,227.57,212.09,-0.0191,-0.0048,6,0,0,0
1,227.57,220.91,-0.053,-0.0066,0,0,1,0
1,227.24,5.69,-0.0086,-0.0086,0,0,35,0
1,212.89,173.86,-0.0112,-0.0037,0,1,0,17
1,210.72,5.88,-0.0426,-0.0071,0,3,26,24
1,227.51,182.22,-0.0056,-0.0056,2,3,0,13
1,226.86,2.26,-0.0053,-0.0053,2,47,0,13
1,222.21,191.2,-0.0219,-0.0219,2,0,0,13
1,220.55,194.11,0.0017,0.0017,1,0,0,13
1,219.51,55.86,-0.0076,-0.0038,1,0,0,92
1,260.81,70.36,-0.0025,-0.0025,1,10,0,66
1,258.72,57.49,-0.0012,-0.0006,16,13,0,48
1,257.75,201.33,-0.0071,-0.0071,0,13,0,0
1,254.37,10.41,-0.0134,-0.0027,60,22,0,0
1,245.51,112.36,-0.0201,-0.005,14,0,11,14
1,259.86,0.53,-0.0121,-0.006,1,0,26,31
1,250.67,59.91,-0.0129,-0.0064,1,25,0,39
1,246.25,0.64,-0.0246,-0.0123,1,19,0,80
1,239.43,3.51,-0.0072,-0.0024,0,52,0,10
1,301.57,9.78,0.0024,0.0012,0,52,0,7
1,304.92,55.31,-0.0085,-0.0085,1,18,0,62
1,317.75,2.4,-0.0102,-0.0102,0,0,0,119
1,304.66,0.55,-0.029,-0.0026,7,0,1,108
1,281.92,74.49,-0.0059,-0.002,0,0,1,86
1,265.61,2.01,0.0023,0.0008,19,1,0,94
1,270.38,61.35,-0.0006,-0.0003,8,8,0,69
1,289.86,75.14,-0.0016,-0.0008,2,16,3,45
1,311.83,33.42,-0.0027,-0.0027,1,10,16,35
1,295.6,72.33,-0.0007,-0.0007,7,1,14,35
1,279.57,63.57,0.0019,0.0019,7,3,14,35
1,265.43,145.41,0.0004,0.0001,0,3,4,37
1,263.2,1.91,-0.0306,-0.0044,1,22,3,67
1,265.55,71.61,0.0004,0.0004,1,22,3,33
1,268.27,107.57,-0.0062,-0.0015,15,18,5,0
1,261.2,91.72,-0.006,-0.002,12,31,0,0
1,255.25,171.57,-0.021,-0.021,28,0,0,4
1,261.05,243.45,-0.0358,-0.0179,0,4,0,0
1,260.49,182.7,-0.0134,-0.0067,20,4,0,1
1,258.67,2.47,-0.0056,-0.0056,84,4,0,0
1,242.71,13.12,0.0005,0.0005,84,0,0,3
1,249.28,88.82,-0.0135,-0.0045,8,13,4,19
1,249.67,164.47,-0.0442,-0.0063,10,2,6,0
1,252.65,3.92,-0.0031,-0.0008,4,32,9,7
1,246.23,63.36,0.0008,0.0008,4,32,1,7
1,243.47,73.36,-0.0169,-0.0042,2,8,0,61
1,270.49,6.14,-0.0042,-0.0021,0,0,15,61
1,270.26,3.54,-0.0343,-0.0057,0,44,0,16
1,264.7,41.62,-0.0007,-0.0007,0,44,0,0
1,253.26,63.79,-0.0144,-0.0048,0,36,0,7
1,248.11,2.17,-0.0103,-0.0026,11,39,3,2
1,235.61,21.54,0.0026,0.0026,10,39,1,1
1,222.83,61.13,-0.0098,-0.0098,0,26,6,6
1,225.63,77.24,-0.047,-0.0052,1,34,0,0
1,223.94,80.12,-0.0046,-0.0046,0,34,0,0
1,226.32,56.5,-0.005,-0.005,0,39,0,1
1,276.23,2.11,-0.0176,-0.0088,89,0,0,0
1,283.35,2.11,0.0007,0.0007,89,0,0,0
1,301.15,256.63,-0.0411,-0.0037,2,0,0,12
1,298.19,256.63,-0.0156,-0.0156,2,0,0,12
1,294.83,0.07,-0.0341,-0.017,38,36,0,0
1,367.65,100.48,-0.0207,-0.0069,0,0,29,5
1,379.69,13.69,-0.0152,-0.0152,20,0,0,100
1,380.29,342.21,-0.0485,-0.0097,0,0,4,0
1,378.09,129.41,-0.0133,-0.0033,19,3,7,33
1,361.47,82.17,-0.0071,-0.0024,0,1,33,0
1,369.57,61.19,-0.0723,-0.009,53,18,2,1
1,375.93,148.27,-0.02,-0.01,0,11,13,12
1,369.3,24.02,-0.0024,-0.0024,44,10,13,6
1,365.47,48.31,-0.0181,-0.006,0,0,36,0
1,345.31,310.22,-0.0482,-0.008,0,2,3,0
1,343.72,97.32,-0.0331,-0.0066,0,22,1,51
1,371.52,204.67,-0.0106,-0.0053,3,8,1,38
1,367.39,63.62,-0.0616,-0.0077,0,0,37,0
1,372.57,13.11,-0.0326,-0.0082,4,0,2,132
1,355.27,45.03,-0.0231,-0.0039,24,0,28,0
1,347.47,166.46,-0.0203,-0.0102,0,0,23,0
1,382.2,1.62,0.002,0.0005,42,4,23,0
1,376.49,1.53,-0.0412,-0.0059,39,20,14,1
1,369.62,0.36,-0.0027,-0.0013,39,0,27,1
