Term,Final Net Worth,Final Cash,Final Reward,Average Reward,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory
1,360.22,39.18,-0.0518,-0.0058,3,4,28,22
1,351.4,56.9,-0.001,-0.001,15,4,28,0
1,406.25,256.25,-0.0039,-0.0039,15,6,7,0
1,411.28,23.01,-0.0083,-0.0042,0,0,41,0
1,384.22,23.01,-0.0003,-0.0001,0,0,41,0
1,370.28,370.28,-0.036,-0.012,0,0,0,0
1,370.28,267.48,-0.0167,-0.0167,0,20,0,0
1,381.68,187.42,-0.0105,-0.0035,16,19,3,0
1,382.89,36.11,-0.0087,-0.0043,48,28,1,0
1,374.43,8.49,-0.0389,-0.0039,7,12,32,0
1,363.84,1.71,-0.0038,-0.0013,3,0,30,36
1,342.93,1.67,-0.0039,-0.0006,2,0,25,52
1,326.92,1.67,0.0018,0.0018,2,0,25,52
1,343.16,58.55,0.0001,0.0001,2,0,25,28
1,340.97,85.46,-0.0037,-0.0037,4,0,19,35
1,336.61,54.65,-0.0054,-0.0009,22,20,7,18
1,326.14,31.65,-0.0062,-0.0031,22,0,3,84
1,310.68,57.25,-0.0007,-0.0007,31,0,2,63
1,328.29,190.67,-0.0088,-0.0088,7,0,13,0
1,326.96,114.44,-0.0062,-0.0021,66,0,0,0
1,350.72,71.48,-0.0038,-0.0013,78,0,0,0
1,343.7,29.36,-0.0026,-0.0013,78,0,0,18
1,323.96,36.08,0.0023,0.0011,78,0,0,15
1,331.64,89.86,-0.0173,-0.0058,8,1,0,86
1,338.19,212.43,-0.0489,-0.007,3,0,0,46
1,341.75,14.83,-0.0114,-0.0057,3,0,0,122
1,330.26,312.89,-0.0083,-0.0083,3,0,1,0
1,332.56,5.12,-0.0172,-0.0086,0,24,19,0
1,330.04,20.16,-0.0006,-0.0006,0,24,14,12
1,321.82,39.54,0.0002,0.0002,3,17,14,15
1,312.12,21.02,-0.0124,-0.0041,0,13,12,42
1,302.03,7.34,-0.0061,-0.0061,0,13,0,90
1,334.52,201.34,-0.0075,-0.0025,0,9,8,0
1,340.8,8.54,-0.0036,-0.0018,18,16,15,0
1,337.68,83.36,-0.0149,-0.0037,30,1,9,11
1,330.64,130.76,-0.0018,-0.0018,39,1,4,0
1,327.12,61.39,-0.0211,-0.0106,0,8,2,69
1,307.84,205.94,-0.0198,-0.0066,4,6,0,20
1,312.92,91.59,-0.0069,-0.0069,4,31,0,0
1,304.52,0.75,-0.0021,-0.001,0,47,0,2
1,286.76,0.75,0.0014,0.0014,0,47,0,2
1,270.58,63.44,-0.0254,-0.0127,0,0,10,38
1,258.64,4.53,0.0003,0.0002,17,0,7,47
1,296.25,139.15,-0.0171,-0.0085,0,19,6,0
1,303.71,228.19,-0.0104,-0.0104,0,0,8,0
1,301.95,23.17,-0.0068,-0.0068,53,0,5,3
1,288.0,40.53,0.0015,0.0015,53,0,3,3
1,268.02,1.75,0.0005,0.0005,53,3,2,14
1,249.51,4.91,-0.0479,-0.012,3,0,8,66
1,268.96,188.07,-0.0074,-0.0025,3,1,7,0
1,269.42,9.71,-0.0095,-0.0012,20,0,6,51
1,264.08,46.69,0.0003,0.0003,22,0,1,51
1,255.49,0.28,0.0005,0.0005,35,0,1,51
1,294.74,1.15,-0.0553,-0.0055,29,0,19,0
1,288.6,1.15,0.0014,0.0014,29,0,19,0
1,285.12,2.18,-0.0231,-0.0077,20,0,0,57
1,268.07,66.84,-0.0125,-0.0042,53,1,0,0
1,265.21,11.5,0.0057,0.0011,64,1,0,5
1,334.59,15.63,0.0064,0.0013,65,0,0,4
1,319.6,25.43,-0.0116,-0.0029,15,0,22,0
1,313.9,140.57,-0.0139,-0.0035,19,0,0,29
1,311.41,7.01,-0.0225,-0.0037,70,0,0,2
1,299.11,8.77,-0.0229,-0.0076,3,0,31,0
1,325.52,13.19,0.005,0.0013,2,0,31,0
1,344.73,17.45,0.001,0.001,1,0,31,0
1,350.74,138.0,-0.0226,-0.0056,1,28,0,7
1,341.33,18.04,-0.0048,-0.0024,21,17,3,33
1,325.74,315.85,-0.0092,-0.0031,0,0,1,0
1,326.73,2.13,-0.0061,-0.002,36,3,15,0
1,349.29,0.78,-0.0382,-0.0055,0,38,9,0
1,334.55,264.48,-0.0457,-0.0152,0,11,0,0
1,332.68,53.63,-0.0109,-0.0055,0,18,17,0
1,329.97,30.36,-0.0134,-0.0045,4,34,0,25
1,417.31,151.14,-0.0057,-0.0057,4,9,6,32
1,413.65,36.03,-0.0314,-0.0052,5,42,2,1
1,394.4,265.7,-0.0131,-0.0065,1,0,2,30
1,390.75,1.66,-0.036,-0.0072,73,0,0,0
1,359.36,1.66,0.0011,0.0006,73,0,0,0
1,323.59,106.18,-0.0028,-0.0014,46,0,0,5
1,309.61,26.81,-0.0254,-0.0051,0,14,0,56
1,309.89,6.87,-0.0648,-0.0059,0,29,0,28
1,293.09,81.46,-0.0109,-0.0054,0,2,17,5
1,284.69,73.35,-0.0347,-0.0058,17,12,6,0
1,273.78,247.77,-0.0248,-0.0062,0,0,0,9
1,275.4,38.02,-0.0273,-0.0273,0,0,22,0
1,279.14,209.25,-0.0107,-0.0021,4,7,0,3
1,279.62,247.17,0.0008,0.0008,4,1,0,3
1,278.58,225.41,-0.0196,-0.0049,13,0,0,0
1,276.76,229.36,0.0006,0.0006,12,0,0,0
1,286.6,238.9,0.0004,0.0004,10,0,0,0
1,284.1,5.34,-0.022,-0.011,0,18,0,52
1,304.52,11.76,-0.0223,-0.0032,20,0,20,4
1,295.72,3.1,-0.0044,-0.0015,4,0,29,0
1,287.87,157.98,-0.014,-0.014,4,0,10,7
1,303.45,6.95,-0.0034,-0.0034,40,0,10,6
1,306.51,0.07,-0.003,-0.0015,20,11,9,16
1,302.64,48.71,0.0004,0.0004,20,11,7,7
1,294.91,2.57,-0.0632,-0.0057,0,0,0,94
1,280.81,122.79,-0.0082,-0.0021,0,3,0,47
1,305.06,201.26,-0.0186,-0.0093,0,0,0,30
1,302.96,302.96,-0.0226,-0.0038,0,0,0,0
1,302.96,215.14,-0.026,-0.0052,5,0,6,0
1,298.99,142.5,-0.039,-0.013,0,23,0,1
1,294.9,10.3,-0.0024,-0.0024,30,24,0,1
1,324.93,102.2,-0.0048,-0.0048,0,24,5,0
1,321.17,117.96,-0.0178,-0.0025,0,7,15,0
1,318.97,9.17,-0.0078,-0.0039,19,6,18,0
1,306.57,48.84,-0.0023,-0.0023,8,13,14,0
1,302.1,57.84,-0.0048,-0.0016,10,1,20,0
1,345.3,105.91,-0.07,-0.007,7,0,9,30
1,348.47,13.46,-0.0461,-0.0092,27,19,5,5
1,345.54,151.5,-0.0101,-0.0051,3,20,4,0
1,341.06,111.27,-0.0112,-0.0022,40,0,2,7
1,372.89,310.83,-0.0049,-0.0049,0,0,2,8
1,370.19,148.7,-0.0032,-0.0032,0,21,2,6
1,385.17,10.05,-0.002,-0.002,28,20,2,6
1,375.63,8.58,-0.0009,-0.0003,22,21,3,9
1,359.84,127.91,-0.0097,-0.0097,22,0,2,27
1,345.38,30.72,-0.0105,-0.0053,0,29,0,27
1,385.16,122.54,0.0008,0.0002,2,29,0,0
1,377.67,169.55,-0.0115,-0.0038,3,8,4,18
1,372.58,146.42,-0.0081,-0.0081,0,8,2,34
1,359.28,237.81,-0.0101,-0.0034,0,1,9,3
1,356.58,148.62,-0.0105,-0.0035,19,1,0,29
1,369.05,353.77,-0.0091,-0.0091,0,1,0,2
1,370.28,173.18,-0.0197,-0.0098,0,0,15,1
1,365.69,198.26,0.0004,0.0004,0,0,13,1
1,353.65,40.03,-0.0163,-0.0054,11,10,0,43
1,334.54,39.69,-0.0159,-0.0053,52,3,0,0
1,318.04,166.19,-0.0232,-0.0039,11,0,9,0
1,336.45,178.74,0.0008,0.0008,11,0,8,0
1,334.25,214.68,-0.0148,-0.0049,9,7,1,3
1,331.2,58.2,-0.0235,-0.0078,0,14,14,3
1,325.23,28.04,-0.0313,-0.0078,54,0,2,9
1,337.94,89.16,-0.0172,-0.0029,19,0,1,34
1,340.02,74.24,-0.0042,-0.0021,12,1,0,47
1,351.66,6.43,-0.0068,-0.0023,19,1,10,18
1,339.98,39.3,-0.0349,-0.0058,0,2,20,4
1,317.22,10.93,-0.0112,-0.0028,5,26,5,4
1,305.27,305.27,-0.0148,-0.0074,0,0,0,0
1,305.27,2.77,-0.0175,-0.0044,1,13,19,0
1,294.41,53.98,-0.0026,-0.0026,1,10,13,9
1,322.85,88.48,-0.0259,-0.0032,0,1,12,23
1,310.6,107.6,-0.0041,-0.0041,4,8,10,4
1,298.84,73.83,-0.0082,-0.0041,4,0,19,1
1,300.55,3.15,-0.0004,-0.0004,16,0,19,1
1,303.21,16.02,0.0013,0.0013,13,0,19,2
1,317.65,89.76,0.0,0.0,14,0,13,0
1,311.54,0.9,-0.0169,-0.0084,0,0,13,44
1,294.81,294.81,-0.0152,-0.0076,0,0,0,0
1,294.81,2.27,-0.0131,-0.0065,7,22,0,22
1,295.56,34.73,0.0009,0.0009,1,22,0,22
1,288.91,142.97,-0.0276,-0.0055,3,4,0,28
1,284.2,182.4,-0.0148,-0.0074,4,8,0,6
1,294.24,23.22,-0.0152,-0.0076,3,31,0,1
1,311.22,10.2,0.0023,0.0011,3,33,0,0
1,309.45,10.2,0.0013,0.0013,3,33,0,0
1,294.84,2.68,0.0014,0.0014,2,33,1,0
1,288.13,45.91,-0.0058,-0.0029,0,27,2,1
1,284.19,3.55,-0.0043,-0.0043,0,21,1,28
1,305.72,175.04,-0.014,-0.0047,0,0,11,0
1,310.56,1.22,-0.0037,-0.0037,30,0,11,1
1,302.92,75.82,-0.006,-0.006,0,10,11,1
1,292.86,6.6,-0.0119,-0.004,2,0,13,28
1,282.0,7.92,-0.0062,-0.0016,1,15,5,23
1,293.69,76.26,-0.0036,-0.0012,1,1,1,48
1,299.97,42.12,0.001,0.001,7,1,1,48
1,313.08,2.61,0.0013,0.0013,7,1,1,57
1,299.81,158.27,-0.0162,-0.0054,22,0,2,0
1,299.03,0.39,-0.0195,-0.0098,24,0,3,35
1,316.02,55.26,-0.0322,-0.0064,13,0,0,48
1,331.33,214.09,-0.0119,-0.0059,0,2,4,11
1,336.89,136.52,-0.0048,-0.0048,21,2,3,4
1,326.63,112.64,-0.0118,-0.003,19,7,1,8
1,318.89,59.14,-0.0527,-0.0105,9,0,0,49
1,298.7,124.31,-0.0073,-0.0024,10,0,3,22
1,305.59,3.91,-0.0183,-0.0037,6,29,2,0
1,309.85,96.33,-0.0309,-0.0052,10,1,1,36
1,318.06,97.38,-0.0476,-0.006,11,0,3,30
1,309.56,3.49,-0.0037,-0.0006,29,19,0,2
1,300.44,69.6,-0.0162,-0.0032,6,7,1,37
1,310.66,171.66,-0.0086,-0.0022,25,0,0,0
1,309.41,309.41,-0.0055,-0.0055,0,0,0,0
1,309.41,2.09,-0.0081,-0.0027,39,13,0,0
1,297.45,127.66,-0.007,-0.0035,20,6,1,3
1,311.7,61.45,-0.0054,-0.0014,0,14,8,1
1,312.01,119.93,-0.008,-0.008,0,14,0,14
1,307.67,65.57,-0.0045,-0.0045,0,21,0,12
1,297.74,36.72,-0.0125,-0.0125,0,0,0,62
1,285.96,96.66,-0.0006,-0.0002,0,1,0,45
1,295.43,223.08,-0.0079,-0.004,11,1,0,0
1,302.68,160.52,-0.0022,-0.0022,11,1,4,0
1,298.1,64.91,-0.0058,-0.0058,11,18,0,0
1,292.86,220.54,-0.0672,-0.0112,3,5,0,2
1,290.58,77.15,-0.0101,-0.0034,31,0,2,2
1,304.09,22.63,-0.0027,-0.0014,46,1,0,0
1,310.35,1.22,-0.0693,-0.0173,0,0,4,53
1,313.67,132.77,-0.006,-0.002,0,4,0,30
1,308.63,211.14,-0.0096,-0.0096,0,4,0,13
1,303.4,33.18,-0.02,-0.004,0,6,14,0
1,348.9,114.27,-0.0141,-0.0035,16,1,4,11
1,359.86,54.95,-0.0324,-0.0081,23,9,4,0
1,351.41,66.47,-0.0024,-0.0012,23,3,7,0
1,339.21,5.59,-0.0178,-0.0089,18,0,0,40
1,317.23,224.57,-0.0073,-0.0073,11,3,0,0
1,314.67,239.91,-0.0146,-0.0146,6,3,1,0
1,324.25,103.71,-0.0097,-0.0048,2,5,11,0
1,321.97,99.37,-0.0029,-0.0007,18,4,0,13
1,315.03,161.87,-0.011,-0.0055,14,7,0,0
1,309.01,142.37,-0.0235,-0.0078,23,1,0,4
1,300.7,167.99,-0.0047,-0.0012,23,0,0,0
1,312.89,46.58,-0.0143,-0.0071,0,15,8,0
1,314.1,133.04,-0.0037,-0.0037,0,17,1,0
1,308.75,159.5,-0.0039,-0.002,0,5,7,0
1,305.68,3.76,-0.0578,-0.0116,3,0,0,58
1,282.88,266.5,-0.0086,-0.0086,3,0,0,0
1,286.48,152.95,-0.0153,-0.0077,3,10,0,5
1,285.38,150.76,-0.0106,-0.0027,0,7,4,3
1,284.89,173.13,-0.014,-0.0035,0,6,4,0
1,285.79,110.91,0.0006,0.0006,1,6,4,13
1,324.76,55.61,-0.0154,-0.0077,9,17,2,0
1,348.06,1.14,0.0003,0.0003,8,17,4,5
1,349.9,166.09,-0.0081,-0.001,0,1,10,0
1,346.27,161.25,-0.0015,-0.0015,0,1,10,1
1,344.94,3.03,-0.0052,-0.0026,0,8,15,1
