Term,Final Net Worth,Final Cash,Final Reward,Average Reward,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory,ROI
109,566.49,260.73,59.1382,0.0393,12,0,14,0,2.9209
110,18626.32,15669.56,99.4068,0.0712,0,477,1,114,-0.2348
111,1079.81,1004.21,84.7875,0.063,3,3,2,0,-0.3112
112,1229.33,281.81,90.2335,0.0612,0,0,29,56,-0.2573
113,156.69,110.85,34.5511,0.0268,0,0,0,6,0.0
114,2547.45,93.48,98.7735,0.0792,51,95,94,1,-0.9327
115,872.98,779.04,61.6151,0.0447,5,0,4,0,114.1847
116,2689.37,2577.61,128.0725,0.1002,1,0,8,0,-0.9648
117,131.23,113.14,23.7853,0.0182,3,0,0,0,1.0941
118,2717.92,1604.59,103.9877,0.0747,0,0,60,49,-0.3648
119,507.38,294.7,97.5561,0.0574,7,16,0,0,2.0425
120,1241.73,1147.11,69.9074,0.0464,0,0,6,0,3.7245
121,361.09,12.25,92.128,0.044,0,6,18,0,-0.957
122,738.07,229.27,122.6568,0.0584,0,0,32,0,-1.0351
123,583.69,3.64,105.408,0.0524,21,33,0,0,-0.638
124,3887.26,2.6,151.2613,0.0789,0,0,223,0,-0.7029
125,281.72,262.62,82.5217,0.0436,0,2,0,0,2.5445
126,177.9,124.0,49.3296,0.0275,2,0,0,8,7.2382
127,1648.76,156.99,151.7512,0.0839,0,0,101,0,-4.179
128,785.62,356.71,150.1004,0.073,4,0,33,2,10.1099
129,12156.84,9546.0,264.5053,0.1529,0,0,6,602,-0.715
130,672.58,25.57,105.1312,0.0514,0,0,39,0,-0.7165
131,8037.62,7627.42,247.8847,0.1498,0,0,35,1,0.0
132,5011.61,1679.24,206.3973,0.1371,0,1,220,180,3.6125
133,3239.64,2157.72,247.9785,0.1519,0,0,48,0,24.4489
134,3320.89,604.11,303.3185,0.1936,0,167,119,0,-0.6815
135,12585.12,7069.53,387.88,0.2651,0,0,186,469,13.4516
136,34874.85,47.33,449.1439,0.2932,0,93,743,0,-1.1459
137,1642.36,1413.86,193.7013,0.1125,0,25,0,0,14.0532
138,367.52,121.99,169.1447,0.0734,3,0,14,0,13.223
139,742.13,427.05,145.0137,0.0823,0,1,20,4,4.1998
140,846.52,837.13,104.5193,0.0591,0,1,0,0,8.2949
141,10775.94,10748.31,275.9106,0.1938,0,0,1,0,0.139
142,7695.73,7690.98,218.4623,0.1536,0,0,0,1,0.0072
143,704.77,166.42,111.7249,0.0712,0,0,37,0,0.6844
144,326.41,5.41,71.3676,0.0427,0,0,20,0,-0.9084
145,1359.53,41.58,173.47,0.1077,0,0,77,18,-0.9966
146,4127.61,4.23,225.6819,0.1727,0,13,236,0,-1.0325
147,2002.29,1169.01,196.2665,0.1386,0,5,49,1,1.844
148,8505.83,5310.97,302.5759,0.2304,126,0,92,219,-1.0618
149,448.58,7.68,101.1562,0.058,22,0,20,0,-0.9991
150,11561.82,11542.4,295.1604,0.2001,2,0,0,0,36.8759
151,261.93,14.51,62.5938,0.0373,0,0,15,1,2.8249
152,6289.13,3554.17,348.3791,0.2448,333,1,0,136,19.845
153,13743.94,13743.94,351.7316,0.2789,0,0,0,0,20.706
154,25625.67,25300.59,475.8275,0.3607,3,0,0,72,0.0
155,6297.66,5356.27,346.7218,0.2484,126,13,3,0,5.6612
156,5659.5,4021.45,369.6172,0.2962,0,7,109,0,-0.1038
157,843.74,7.32,182.4616,0.1418,0,13,45,0,-0.5268
158,5766.39,5546.95,362.853,0.2473,0,20,0,6,40.7582
159,17471.01,14629.52,448.6646,0.3361,0,49,172,18,-0.0033
160,4117.28,4117.28,262.4873,0.216,0,0,0,0,0.0
161,2345.62,2335.54,224.1124,0.1688,0,1,0,0,23.3147
162,663.81,0.21,138.4274,0.1009,105,0,0,0,-1.0692
163,692.15,673.37,92.9745,0.0631,0,2,0,0,1.6503
164,311.51,7.67,52.512,0.0356,0,15,9,0,-1.0766
165,6099.85,1.61,299.4155,0.2489,0,0,472,0,-0.9284
166,12935.24,10311.67,410.83,0.334,0,119,21,226,-0.0316
167,89.15,89.15,26.9234,0.0171,0,0,0,0,0.889
168,999.75,924.84,77.5467,0.0545,11,0,0,0,9.2392
169,195.67,38.17,66.7194,0.0449,0,0,10,0,-1.0044
170,214.35,174.75,75.1466,0.0472,6,0,0,0,1.1928
171,1270.4,357.92,148.2439,0.0968,2,0,52,0,0.3139
172,6908.9,6903.85,308.7176,0.2333,1,0,0,0,1277.1074
173,1110.04,637.21,109.8493,0.068,3,45,0,0,5.9861
174,3298.26,3292.56,244.1543,0.2074,1,0,0,0,578.9206
175,139.43,80.3,32.8416,0.0251,9,0,0,0,-0.3616
176,85.54,73.3,31.2543,0.0236,2,0,0,0,4.239
177,1808.57,7.02,195.6723,0.1568,0,0,137,0,-0.9052
178,1948.58,13.37,183.6707,0.1702,0,0,127,24,-0.6375
179,921.16,0.24,109.6231,0.0842,0,2,58,0,-0.8222
180,9844.28,661.8,409.2481,0.3714,137,0,529,43,-0.7536
181,5125.31,5106.97,232.9737,0.2044,2,0,0,1,921.0487
182,134.39,99.29,23.1239,0.0182,5,0,0,0,0.9085
183,52624.39,48381.34,745.5354,0.65,0,0,135,0,17.0529
184,80.68,61.74,23.6975,0.0149,0,2,0,0,-0.1179
185,12043.58,10208.48,373.0552,0.2931,0,0,122,5,0.8707
186,256.43,5.23,59.6632,0.0415,0,0,16,0,-1.0508
187,4166.08,4153.3,336.9982,0.2815,2,0,0,0,651.9906
