#{"t_start": 1729737768.0667076, "env_id": "None"}
r,l,t
36.996831,365,281.213341
36.973223,365,282.114882
36.933712,365,283.010851
36.948941,365,283.904851
36.93078,365,284.740852
36.410826,365,286.660851
37.018803,365,287.617889
36.829637,365,288.527851
36.994718,365,289.332887
36.872365,365,290.218851
36.178295,365,291.195399
36.521379,365,293.041392
37.052794,365,293.896362
36.932106,365,294.7784
36.845074,365,295.689362
36.903608,365,296.541362
36.647564,365,302.375832
36.854041,365,303.240832
36.886587,365,304.081862
36.817804,365,304.985832
36.833852,365,305.858869
36.914792,365,306.788832
36.825462,365,308.62787
36.643776,365,309.542862
36.306032,365,310.467833
36.893274,365,311.354373
36.85469,365,312.251359
36.852271,365,313.128372
37.000121,365,314.986341
36.308012,365,315.895372
36.953308,365,316.801341
36.661616,365,317.684371
36.950643,365,318.585341
36.734884,365,320.451341
36.873058,365,321.335883
36.457772,365,322.257887
36.753172,365,323.180868
36.926151,365,324.027879
36.931871,365,324.86185
36.185538,365,326.78288
36.966735,365,327.71188
36.826324,365,328.53785
36.597177,365,329.437879
36.728676,365,334.124886
36.883623,365,335.975848
36.9797,365,336.87588
36.951157,365,337.847879
37.050513,365,338.695879
36.846927,365,339.57988
36.859007,365,340.532886
36.927521,365,342.387849
37.072791,365,343.290882
37.041205,365,344.157892
36.953265,365,344.928889
36.295962,365,345.858881
36.873248,365,346.711849
36.731573,365,348.526888
36.834388,365,349.406882
36.905786,365,350.289849
35.78868,365,351.236935
36.669402,365,352.100904
36.911841,365,353.942927
36.417997,365,354.873927
36.841404,365,355.817928
36.904469,365,356.738933
37.083243,365,357.667897
36.947188,365,358.449897
36.77173,365,360.194897
36.814236,365,361.067929
36.837929,365,361.94293
36.670217,365,362.797897
36.188523,365,367.868897
36.028969,365,369.768406
36.919347,365,370.639722
36.963056,365,371.481685
36.957159,365,372.335192
36.771438,365,373.207433
36.946603,365,374.016463
36.660917,365,375.874465
36.8914,365,376.739465
36.826551,365,377.689432
36.77309,365,378.573432
36.820561,365,379.455463
36.957322,365,380.34347
36.813957,365,382.180433
37.110031,365,383.086471
36.874172,365,384.008461
36.876919,365,384.907433
36.829914,365,385.759461
36.937399,365,387.591433
36.63214,365,388.500433
36.861945,365,389.444463
37.066669,365,390.26849
36.897378,365,391.287432
36.910712,365,392.174432
37.050006,365,393.980463
36.496767,365,394.905463
36.824978,365,395.84334
36.92533,365,400.81953
36.413297,365,401.816521
36.948492,365,402.70352
36.820052,365,404.598521
36.950451,365,405.534527
36.810639,365,406.397567
36.417628,365,407.336529
37.021556,365,408.209528
36.488147,365,410.022559
36.697171,365,410.911529
36.916116,365,411.781529
36.960203,365,412.719529
36.441146,365,413.638529
36.888255,365,414.653529
36.872303,365,416.550528
37.055961,365,417.465528
36.232575,365,418.448528
36.88464,365,419.295529
36.427037,365,420.256529
36.914772,365,422.225529
36.914577,365,422.999528
36.851889,365,423.824529
36.796114,365,424.752529
37.007138,365,425.634529
36.862602,365,426.625595
36.73637,365,428.630567
36.738897,365,429.626567
36.795611,365,430.659567
36.642768,365,436.728337
36.987381,365,437.726337
36.841157,365,438.811339
36.222593,365,440.981339
36.885968,365,442.019378
36.328311,365,443.059377
36.905853,365,443.971378
36.939976,365,444.940377
36.917626,365,447.020378
36.465657,365,447.989377
36.851178,365,449.016377
37.007534,365,450.043414
36.74798,365,450.987377
36.925043,365,451.945414
36.807503,365,454.032376
36.697784,365,455.015377
36.927421,365,455.860408
36.924211,365,456.834941
36.945472,365,457.75628
36.737588,365,459.79528
36.820569,365,460.751547
36.964448,365,461.668542
36.765694,365,462.637567
36.86722,365,463.626567
36.7215,365,464.546567
36.838235,365,466.516567
36.797322,365,467.503567
36.336239,365,472.715604
36.731535,365,473.723568
36.601834,365,474.754567
36.342611,365,475.765567
36.786704,365,477.805567
36.819195,365,478.674567
36.729878,365,479.673567
36.473539,365,480.606567
36.560011,365,481.590604
36.129719,365,483.782567
37.016039,365,484.668598
36.849288,365,485.678567
36.932525,365,486.610586
36.560238,365,487.583586
36.636184,365,488.511624
36.886899,365,490.463689
36.906605,365,491.43569
36.668611,365,492.427689
36.747354,365,493.422689
36.908317,365,494.384698
36.652182,365,496.370689
36.671792,365,497.371689
36.887873,365,498.302689
36.737229,365,499.223689
36.55691,365,500.217689
36.412241,365,501.191726
36.844955,365,503.218689
36.54666,365,508.63669
36.499162,365,509.607689
36.696895,365,510.487689
36.496471,365,511.394689
36.822395,365,512.344689
36.775927,365,514.428689
36.788207,365,515.333689
36.451209,365,516.307689
36.667534,365,517.252689
36.624724,365,518.121689
36.891214,365,520.299689
36.701796,365,521.179728
36.895084,365,522.150698
36.389152,365,523.16169
36.780921,365,524.140696
36.586362,365,525.097689
36.954837,365,527.055689
36.450922,365,528.266789
36.420402,365,529.25479
36.271764,365,530.28979
36.904854,365,531.135789
36.962876,365,532.06379
36.849758,365,534.12779
36.848467,365,535.142791
36.841633,365,536.17879
36.686083,365,537.188822
36.69491,365,538.17579
36.822321,365,540.20879
36.860703,365,545.660789
36.792514,365,546.63579
36.840898,365,547.61979
36.745153,365,548.68079
36.906295,365,549.659789
36.88311,365,551.693807
36.307098,365,552.745806
36.826703,365,553.729807
36.733456,365,554.679806
36.737545,365,555.708807
36.518156,365,557.782807
36.849481,365,558.706806
36.687532,365,559.675807
36.890442,365,560.625806
36.877993,365,561.634318
36.810073,365,562.500319
36.813929,365,564.506318
36.484919,365,565.507319
36.844953,365,566.506319
36.785568,365,567.460829
36.936695,365,568.408829
36.911591,365,569.386829
36.876676,365,571.443829
36.90851,365,572.454829
36.763001,365,573.443829
36.53917,365,574.351829
36.661674,365,575.377829
36.876798,365,582.14183
36.467057,365,583.280836
36.79774,365,584.254859
36.538298,365,585.139829
36.915681,365,586.056859
36.79013,365,586.913867
36.525991,365,588.794829
36.713293,365,589.68986
36.893284,365,590.500829
36.642252,365,591.390859
36.816814,365,592.29386
36.629649,365,594.169828
36.827621,365,595.110829
36.397472,365,596.025829
36.388091,365,597.004829
36.704667,365,597.920829
36.321117,365,598.822829
36.773861,365,600.739857
36.479561,365,601.512829
36.20601,365,602.405866
36.33506,365,603.397858
36.6322,365,604.262859
36.702253,365,605.124829
36.80875,365,606.994829
36.840528,365,607.904337
36.545406,365,608.746337
36.821516,365,609.666369
36.739941,365,610.563337
36.729407,365,616.354378
36.815184,365,617.219378
36.689357,365,618.14341
36.830325,365,618.983378
36.502059,365,619.732408
36.593505,365,620.523378
36.660043,365,622.360414
36.854707,365,623.252378
36.676861,365,624.164398
36.913806,365,624.961378
36.496251,365,625.837418
36.742759,365,627.699378
36.839308,365,628.549378
36.590147,365,629.344408
36.711214,365,630.195378
36.840845,365,631.010378
36.847791,365,631.840378
36.79233,365,633.704414
36.454441,365,634.663409
36.655285,365,635.539378
36.36014,365,636.486377
36.756604,365,637.41141
36.41908,365,638.32541
36.707288,365,640.202408
36.81889,365,641.142378
36.776152,365,642.036409
36.438435,365,642.98441
36.863161,365,647.867631
36.726125,365,649.668599
36.473889,365,650.573599
36.461878,365,651.509599
36.34528,365,652.449641
36.436277,365,653.37563
36.431696,365,654.278599
36.715062,365,656.23263
36.693053,365,657.22814
36.859047,365,658.127108
36.571691,365,658.971108
36.960248,365,659.845109
35.966034,365,660.722138
36.833597,365,662.557249
35.853374,365,663.444242
36.420584,365,664.257239
