term_count,average_reward,total_reward,food_inventory,fuel_inventory,clothes_inventory,player_money,net_worth
1,0.360251784324646,131.4918975830078,9.012272834777832,7.810214996337891,2.1966469287872314,3.987098217010498,231.4918975830078
2,0.2257462590932846,82.39738464355469,9.670753479003906,0.36680954694747925,6.693212032318115,27.20294189453125,182.3973846435547
3,-0.13619117438793182,-49.70977783203125,1.4778828620910645,10.118247985839844,0.07823079824447632,27.1799373626709,50.29021072387695
4,0.018954655155539513,6.918449401855469,1.0608854293823242,11.580994606018066,11.015874862670898,29.306671142578125,106.91844940185547
5,0.284090131521225,103.69290161132812,13.013521194458008,2.825204372406006,4.394209384918213,32.78087615966797,203.69290161132812
6,0.21797490119934082,79.56083679199219,3.549734354019165,2.1009633541107178,3.6280603408813477,63.262847900390625,179.5608367919922
7,0.45355984568595886,165.54934692382812,12.169432640075684,1.2970918416976929,4.231175899505615,92.0969009399414,265.5493469238281
8,-0.066802479326725,-24.382904052734375,0.0,14.219217300415039,8.060648918151855,2.5151684284210205,75.61709594726562
9,0.1609005481004715,58.72869873046875,8.31655216217041,0.32896119356155396,2.1227617263793945,61.66812515258789,158.72869873046875
10,0.06919018179178238,25.254417419433594,0.242903470993042,1.9105558395385742,1.8900402784347534,73.09101104736328,125.2544174194336
11,0.2364753633737564,86.31350708007812,2.890901565551758,3.782221794128418,3.1878480911254883,59.69392013549805,186.31350708007812
12,0.32956963777542114,120.29292297363281,15.17760944366455,1.2284698486328125,0.32081955671310425,106.72024536132812,220.2929229736328
